0,1,2,3,4,5,6
{616037: 'Thor: Love and Thunder'},250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{3894: 'Christian Bale'},{55934: 'Taika Waititi'},6.753
{438148: 'Minions: The Rise of Gru'},85000000,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{124747: 'Pierre Coffin'},{8023: 'Kyle Balda'},7.775
{507086: 'Jurassic World Dominion'},165000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{18997: 'Bryce Dallas Howard'},{930707: 'Colin Trevorrow'},7.11
{361743: 'Top Gun: Maverick'},170000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{996701: 'Miles Teller'},{86270: 'Joseph Kosinski'},8.335
{718789: 'Lightyear'},200000000,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{74688: 'Keke Palmer'},{7929: 'Angus MacLane'},7.359
{725201: 'The Gray Man'},200000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",{16828: 'Chris Evans'},{19272: 'Joe Russo'},7.009
{756999: 'The Black Phone'},18800000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1530558: 'Madeleine McGraw'},{55499: 'Scott Derrickson'},8.0
{453395: 'Doctor Strange in the Multiverse of Madness'},200000001,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{550843: 'Elizabeth Olsen'},{7623: 'Sam Raimi'},7.513
{919355: 'Dragon Knight'},0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",{3356551: 'Ryan Livingstone'},{1162038: 'Lawrie Brewster'},5.8
{759175: 'The Princess'},0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{55470: 'Dominic Cooper'},{1264876: 'Lê Văn Kiệt'},7.069
{854467: 'Indemnity'},0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'ZA', 'name': 'South Africa'}]",{1105460: 'Jarrid Geduld'},{2144597: 'Travis Taute'},6.756
{728366: 'Borrego'},0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",[],{205307: 'Lucy Hale'},{2725552: 'Jesse Harris'},5.9
{634649: 'Spider-Man: No Way Home'},200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{505710: 'Zendaya'},{1293994: 'Jon Watts'},8.0
{924482: 'The Ledge'},0,"[{'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",{1197948: 'Brittany Ashworth'},{572295: 'Howard J. Ford'},6.2
{961484: 'Last Seen Alive'},0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{59817: 'Jaimie Alexander'},{80978: 'Brian Goodman'},6.545
{791348: 'Constantine: The House of Mystery'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{127712: 'Matt Ryan'},{1637776: 'Matt Peters'},6.7
{675353: 'Sonic the Hedgehog 2'},110000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{222121: 'Ben Schwartz'},{93364: 'Jeff Fowler'},7.688
{629015: 'Shut In'},0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1008554: 'Rainey Qualley'},{40256: 'D. J. Caruso'},7.161
{836225: 'The Exorcism of God'},1500000,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'VE', 'name': 'Venezuela'}]",{1601451: 'María Gabriela de Faría'},{1190581: 'Alejandro Hidalgo'},7.164
{626735: 'Dog'},20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{209: 'Jane Adams'},{1074867: 'Reid Carolin'},7.447
{894169: 'Vendetta'},0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{85977: 'Clive Standen'},{583932: 'Jared Cohn'},6.529
{810693: 'Jujutsu Kaisen 0'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{119143: 'Kana Hanazawa'},{2264366: 'Sunghoo Park'},7.8
{762975: 'Purple Hearts'},0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1425934: 'Nicholas Galitzine'},{1223175: 'Elizabeth Allen Rosenbaum'},8.543
{338953: 'Fantastic Beasts: The Secrets of Dumbledore'},200000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{9642: 'Jude Law'},{11343: 'David Yates'},6.864
{610150: 'Dragon Ball Super: Super Hero'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{85286: 'Toshio Furukawa'},{2403335: 'Tetsuro Kodama'},7.612
{752623: 'The Lost City'},74000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{38673: 'Channing Tatum'},{931525: 'Aaron Nee'},6.769
{888195: 'Hot Seat'},0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{2461: 'Mel Gibson'},{1211636: 'James Cullen Bressack'},6.414
{508947: 'Turning Red'},190000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{25540: 'Sandra Oh'},{2009739: 'Domee Shi'},7.513
{697799: 'WarHunt'},0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'LV', 'name': 'Latvia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{84215: 'Jackson Rathbone'},{21701: 'Mauro Borrelli'},5.3
{667739: 'The Man from Toronto'},0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{57755: 'Woody Harrelson'},{143059: 'Patrick Hughes'},6.505
{560057: 'The Sea Beast'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{2127280: 'Zaris-Angel Hator'},{70238: 'Chris Williams'},7.695
{864370: 'Incantation'},0,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'TW', 'name': 'Taiwan'}]",{1344771: 'Kao Ying-Hsuan'},{1309565: 'Kevin Ko'},7.236
{613093: 'Valley of the Dead'},0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10752, 'name': 'War'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",{566544: 'Aura Garrido'},{114464: 'Javier Ruiz Caldera'},6.26
{526896: 'Morbius'},75000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{136532: 'Matt Smith'},{125738: 'Daniel Espinosa'},6.456
{838330: 'Not Okay'},0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{3184532: 'Mia Isaac'},{429728: 'Quinn Shephard'},6.826
{766507: 'Prey'},0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{3233354: 'Dakota Beavers'},{568322: 'Dan Trachtenberg'},8.259
{818397: 'Memory'},0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{3896: 'Liam Neeson'},{10702: 'Martin Campbell'},7.28
{975714: 'Collision'},0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'ZA', 'name': 'South Africa'}]",{37093: 'Langley Kirkwood'},{1142937: 'Fabien Martorell'},5.9
{568124: 'Encanto'},50000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{2521631: 'María Cecilia Botero'},{1318201: 'Jared Bush'},7.678
{777831: '9 Bullets'},0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{2940842: 'Dean Scott Vazquez'},{1515545: 'Gigi Gaston'},5.5
{639933: 'The Northman'},70000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{2227: 'Nicole Kidman'},{138781: 'Robert Eggers'},7.203
{615469: 'Spiderhead'},0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{74568: 'Chris Hemsworth'},{86270: 'Joseph Kosinski'},5.797
{825672: 'Asking For It'},0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1253199: 'Alexandra Shipp'},"{1716779: ""Eamon O'Rourke""}",5.0
{335787: 'Uncharted'},120000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{13240: 'Mark Wahlberg'},{91268: 'Ruben Fleischer'},7.165
{414906: 'The Batman'},185000000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{37153: 'Zoë Kravitz'},{32278: 'Matt Reeves'},7.758
{809107: 'Z-O-M-B-I-E-S 3'},36000000,"[{'id': 10402, 'name': 'Music'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 10770, 'name': 'TV Movie'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1914958: 'Milo Manheim'},{38692: 'Paul Hoen'},7.908
{635302: 'Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train'},15800000,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{1563442: 'Akari Kito'},{1283010: 'Haruo Sotozaki'},8.358
{887357: 'Green Lantern: Beware My Power'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{83860: 'Aldis Hodge'},{2927725: 'Jeff Wamester'},7.219
