title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
616037,250000000,"[28, 12, 14]",[0],3894,55934,6.778,1802,5.4829923999518355
507086,165000000,"[12, 28, 878]",[0],18997,930707,7.108,2698,5.972418556258678
438148,85000000,"[10751, 16, 12, 35, 14]",[0],124747,8023,7.804,1257,5.695402494799401
361743,170000000,"[28, 18]",[0],996701,86270,8.339,1874,6.379786010034734
756999,18800000,"[27, 53]",[0],1530558,55499,8.0,1731,6.11078432783653
453395,200000001,"[14, 28, 12]",[0],550843,7623,7.515,5193,6.7124141021814205
718789,200000000,"[16, 878, 12, 28, 10751]",[0],74688,7929,7.334,1559,5.663958573860931
725201,200000000,"[28, 53]","[0, 1]",16828,19272,7.07,1457,5.475758067127414
614934,85000000,"[10402, 18, 36]","[2, 0]",31,6201,7.908,888,5.4072775261849015
634649,200000000,"[28, 12, 878]",[0],505710,1293994,8.048,14602,7.665219666442476
675353,110000000,"[28, 12, 10751, 35]","[3, 0]",222121,93364,7.689,2747,6.36205606676145
718930,85900000,"[28, 35, 80]",[0],125025,40684,7.338,228,4.372104435630781
836225,1500000,[27],"[4, 0, 5]",1601451,1190581,7.19,508,4.7497489201004
752623,74000000,"[28, 12, 35]",[0],38673,931525,6.771,1724,5.447830502928214
626735,20000000,"[18, 35]",[0],209,1074867,7.429,768,5.111712888883751
338953,200000000,"[14, 12, 28]","[6, 0]",9642,11343,6.858,2505,5.760902504514441
639933,70000000,"[28, 12, 14]",[0],2227,138781,7.203,2117,5.845329253546359
508947,190000000,"[16, 10751, 35, 14]",[0],25540,2009739,7.505,2931,6.295325286519137
526896,75000000,"[28, 878, 14]",[0],136532,125738,6.46,2308,5.462289407317957
568124,50000000,"[16, 35, 10751, 14]",[0],2521631,1318201,7.676,7113,7.024578690626494
335787,120000000,"[28, 12]",[0],13240,91268,7.2,3049,6.121968409249426
635302,15800000,"[16, 28, 12, 14]",[3],1563442,1283010,8.359,2604,6.741682371698516
414906,185000000,"[80, 9648, 53]",[0],37153,32278,7.754,5845,6.974136386276338
438695,85000000,"[16, 35, 10751, 10402]",[0],368,52842,8.041,3037,6.683066581370582
809107,36000000,"[10402, 14, 35, 878, 10751, 10770]","[7, 0]",1914958,38692,7.832,191,4.362963215478311
169,35000000,"[878, 28, 53]",[0],2048,2042,6.227,2437,5.350524859874966
629542,80000000,"[16, 35, 10751, 80]",[0],1231717,1261455,7.794,905,5.3819712240076285
106,15000000,"[878, 28, 12, 53]",[0],1101,1090,7.486,6351,6.807431449887364
580489,110000000,"[878, 28, 12]",[0],57755,1333,6.964,7796,6.474851776594362
346910,88000000,"[878, 28, 12, 27]","[7, 0]",1650301,1108,5.622,3852,5.146509201983515
406759,146000000,"[878, 12, 28]","[8, 0]",17178,6046,6.444,1668,5.251771951379861
539681,90000000,"[16, 28, 10751, 878, 35]",[0],55638,89027,7.4,70,4.074864370872584
34851,40000000,"[878, 28, 53]",[0],17052,41671,6.226,3288,5.505880818328212
588228,200000000,"[28, 878, 12]",[0],63312,144816,7.951,5688,7.113148306686016
299536,300000000,"[12, 28, 878]",[0],74568,19272,8.268,25155,8.02449470643052
566525,150000000,"[28, 12, 14]",[0],1337,1144604,7.674,6985,7.013094367983718
440,40000000,"[14, 28, 878, 53, 27]",[0],25869,6038,5.146,2259,4.657900943274195
459151,82000000,"[16, 35, 12, 10751]",[0],11006,18864,7.538,2015,5.998323716657856
303857,5000000,"[28, 16, 878]","[3, 0]",122501,1083452,6.815,1439,5.340770249313421
744275,14000000,"[10749, 18]","[9, 0]",1114487,1448492,7.15,1832,5.699709299490218
524434,200000000,"[878, 28, 12]",[0],512991,1395183,7.1,6064,6.471873891723935
698948,55000000,"[18, 53]","[6, 0]",72466,6159,8.002,215,4.433151271069154
460458,40000000,"[27, 28, 878]","[9, 10, 6, 0]",1223726,100734,6.11,1762,5.1053530285268005
809717,2000000,"[16, 12, 10751, 14]","[11, 10]",1974020,114589,6.205,56,4.001559325525965
460465,20000000,"[28, 14, 12]",[0],136347,1828590,7.174,4798,6.40189618603698
760104,10000000,"[27, 9648, 53]",[0],974169,101542,6.756,714,4.837156383052649
324786,40000000,"[18, 36, 10752]","[2, 0]",65731,2461,8.184,11249,7.6845590180642525
508943,200000000,"[16, 35, 10751, 14]",[0],1774679,930567,7.928,6565,7.185607683214213
763285,40000000,"[28, 53, 80]",[0],1639847,865,6.921,1021,5.138615881877993
19995,237000000,"[28, 12, 14, 878]","[0, 6]",8691,2710,7.516,25859,7.319782567184594
337404,200000000,"[35, 80]","[6, 0]",7056,50767,8.142,7347,7.429167261959029
823625,43000000,"[28, 53]","[2, 0]",2026050,206574,6.33,561,4.577738783992211
397567,18300000,"[18, 14, 28]",[12],63442,84969,8.106,635,5.168929240253851
648579,30000000,"[28, 35, 80]",[0],1253360,1211000,6.998,565,4.764632336197998
518068,18300000,"[18, 14, 28]",[12],150125,84969,8.226,369,4.772903386359883
585245,64000000,"[10751, 12, 35, 14]","[7, 6, 0]",212285,68573,7.285,1353,5.519728691058884
425909,75000000,"[14, 35, 12]","[7, 0]",1442069,52443,7.618,3048,6.402365426821739
20982,29000000,"[16, 28, 14]",[3],82057,89972,7.199,460,4.691861903490469
545611,25000000,"[28, 12, 878]",[0],690,1383612,8.273,1279,5.928622942949556
476669,100000000,"[28, 12, 53, 10752, 9648]","[6, 0]",1716493,957,6.886,3032,5.907470806999124
675445,26000000,"[16, 10751, 12, 35]",[0],2412016,1098477,7.439,994,5.326378823135649
791373,70000000,"[28, 12, 14, 878]",[0],73968,15217,8.266,8026,7.584582955361341
423108,39000000,"[27, 9648, 53]",[0],21657,1607672,7.601,4596,6.698634767191218
624860,190000000,"[878, 28, 12]",[0],530,9340,6.652,3999,5.909377898930689
512195,160000000,"[28, 35, 80, 53]",[0],10859,57633,6.781,3964,5.998338576831578
317442,1000000,"[28, 10749, 16]",[3],24651,2320943,7.854,1253,5.715153595574411
436969,185000000,"[28, 35, 12]",[0],17605,15218,7.636,6458,6.938414410710017
646385,24000000,"[27, 9648, 53]",[0],14405,1039527,6.759,1552,5.366945512555453
632727,20000000,"[27, 53]",[0],122851,1981891,5.257,880,4.415311201712865
299534,356000000,"[12, 878, 28]",[0],16828,19272,8.278,21565,7.995933502296282
696806,116000000,"[28, 12, 35, 878]",[0],2867506,17825,7.106,2786,5.994475700794889
671,125000000,"[12, 14]","[6, 0]",10989,10965,7.917,23043,7.673877351576171
24428,220000000,"[878, 28, 12]",[0],16828,12891,7.706,27341,7.5100366311079485
395,70000000,"[12, 878, 28, 27]","[10, 7, 1, 0]",5412,4014,5.878,3570,5.300567016240716
674,150000000,"[12, 14, 10751]","[6, 0]",10989,10723,7.821,17555,7.515346012338072
537915,14000000,"[10749, 18]",[0],1114487,1586194,7.166,7185,6.607675131143027
7445,26000000,"[18, 53, 10752]",[0],131,53334,7.184,2403,5.933298960187457
587272,3400000,[35],"[13, 0]",93467,10847,7.631,519,4.876914131944508
762504,68000000,"[27, 9648, 878, 53]","[3, 0]",74688,291263,7.068,161,4.225586819084202
672,100000000,"[12, 14]","[6, 0]",10989,10965,7.73,18569,7.4465633045009145
399566,200000000,"[28, 14, 878]",[0],1356210,98631,7.759,8113,7.162507729833225
550988,110000000,"[35, 12, 878]",[0],1388593,17825,7.65,6109,6.917636540337803
767,250000000,"[12, 14]","[6, 0]",10989,11343,7.704,16441,7.389092570762775
529203,65000000,"[16, 10751, 12, 14, 35]",[0],54693,1450348,7.558,3065,6.366544421984087
673,130000000,"[12, 14]","[6, 0]",10989,11218,8.025,18264,7.714909507704042
585,115000000,"[16, 35, 10751]",[0],7904,12890,7.819,15790,7.482302311859705
497698,200000000,"[28, 12, 878]",[0],1373737,93286,7.423,7965,6.870180559587064
589761,9100000,"[18, 36, 12]",[14],77667,562730,6.2,382,4.383861430504261
12445,125000000,"[14, 12]","[6, 0]",10989,11343,8.12,17569,7.791167132849477
385128,200000000,"[28, 80, 53]",[0],17647,58189,7.249,5577,6.546153132628593
50014,25000000,[18],[0],19492,55789,8.191,6611,7.404397750419977
99861,365000000,"[28, 12, 878]",[0],74568,12891,7.291,20198,7.059047102815967
527774,100000000,"[16, 10751, 14, 28, 12]",[0],1625558,1932178,7.98,5501,7.1135559653913605
668742,4000000,"[35, 10751]","[13, 0]",93467,10847,7.469,397,4.66498986508833
354912,175000000,"[10751, 16, 14, 10402, 35, 12]","[4, 0]",258,8,8.227,15998,7.859502958168738
589754,8400000,"[14, 12, 35]",[14],1257126,115122,7.0,114,4.137572749349724
632357,10000000,"[27, 9648]",[0],2067034,80675,6.746,1693,5.421662592894333
12444,250000000,"[12, 14]","[6, 0]",10990,11343,7.779,16305,7.455398773458742
379686,161900000,"[10751, 16, 35, 878]",[0],1896,72024,6.984,3245,6.018605122895689
293660,58000000,"[28, 12, 35]",[0],54882,55252,7.6,27129,7.408110624716933
504827,38000000,"[16, 12, 35]",[0],109869,1815481,7.0,125,4.15704575185386
284053,180000000,"[28, 12, 14, 878, 35]",[0],91606,55934,7.6,18069,7.319233626234867
14836,60000000,"[16, 10751, 14]",[0],10742,57646,7.792,5947,7.0152083723258185
276907,25000000,"[80, 53]","[6, 0, 9]",70456,4723,7.0,3112,6.001531594914939
10195,150000000,"[12, 14, 28]",[0],524,11181,6.771,18620,6.559422448039863
438631,165000000,"[878, 12]",[0],933238,137427,7.868,7471,7.210638243424423
520763,61000000,"[878, 53, 27]",[0],2037,17697,7.574,4588,6.677072893834295
400160,60000000,"[10751, 16, 14, 12, 35]","[12, 0]",34398,49903,7.595,2501,6.221427346860672
1865,380000000,"[12, 28, 14]","[6, 0]",955,17633,6.526,12191,6.241725614985323
198663,34000000,"[28, 9648, 878, 53]","[0, 6]",115150,1179066,7.171,14836,6.873839953897585
451048,200000000,"[28, 12, 14]",[0],5081,59521,7.514,4497,6.618391341324928
8587,45000000,"[10751, 16, 18]",[0],15152,18898,8.26,15592,7.880887496844358
783461,69000000,"[28, 35, 80]",[15],1714229,2542498,6.3,47,3.9915745605371704
21208,20000000,"[27, 53, 9648]","[7, 9, 10, 0]",133,59521,6.962,4213,6.1661642674412676
259693,40000000,"[27, 53]",[0],21657,2127,7.28,6954,6.686267077345782
862,30000000,"[16, 12, 10751, 35]",[0],12898,7879,7.964,15697,7.612895120966371
138843,13000000,"[27, 53]",[0],17178,2127,7.532,9601,7.046051103914817
637649,40000000,"[28, 80, 53]","[6, 0]",7497,956,7.714,3813,6.646667560083411
675,150000000,"[12, 14, 9648]","[6, 0]",10989,11343,7.694,16637,7.3833201352521804
808,60000000,"[16, 35, 14, 12, 10751]",[0],776,12058,7.7,14166,7.339719642844044
315635,175000000,"[28, 12, 878, 18]",[0],2232,1293994,7.363,18945,7.111569787599257
24021,68000000,"[12, 14, 18, 10749]",[0],37917,27571,6.225,7624,5.847569373387451
602223,18000000,"[27, 28, 53]",[0],87265,1192942,7.185,1847,5.72558557454383
474350,79000000,"[27, 14]",[0],5530,1113116,6.877,7116,6.364289590888134
177572,165000000,"[12, 10751, 16, 28, 35]",[0],515510,227439,7.747,13846,7.3746312570710675
429617,160000000,"[28, 12, 878]",[0],2231,1293994,7.495,12949,7.125536498207123
50620,120000000,"[12, 14, 18, 10749]",[0],37917,15557,6.479,7786,6.067315082129942
1930,215000000,"[28, 12, 14]",[0],54693,87742,6.672,15160,6.42533007377021
821494,2000000,[18],"[9, 15]",3062553,7324,5.0,4,3.921744078631097
631843,18000000,"[53, 9648, 27]","[16, 0]",1080195,11614,6.518,2938,5.642644323987786
760926,6500000,"[53, 28]",[2],75711,75711,6.348,343,4.3729262548336285
505262,12000000,"[16, 28, 12, 14]",[3],225603,1307036,7.957,785,5.311047805283852
610253,20000000,"[27, 53]","[6, 0]",20750,64141,6.661,1864,5.441931630059221
876716,45223,"[16, 35, 10751, 14]",[0],1774679,3242711,7.5,515,4.837809177582377
597208,60000000,"[80, 18, 53]",[0],112,10828,7.033,1882,5.655938689142079
38234,3000000,"[28, 53]",[0],61856,78108,7.559,658,5.032937905012838
744,15000000,"[28, 18]",[0],11084,893,7.01,6177,6.408638076241036
568620,88000000,"[28, 12]","[7, 3, 0]",1658375,57270,6.652,1191,5.1321402647410235
522402,2500000,"[878, 18, 12]","[15, 0]",572541,114404,8.046,2472,6.492631772635566
76338,170000000,"[28, 12, 14]",[0],524,47005,6.574,15175,6.336324542726277
698128,4500000,"[878, 53]","[7, 17, 0]",84497,1198724,6.195,105,4.068511442491926
383498,110000000,"[28, 35, 12]",[0],16851,40684,7.498,14955,7.173327073714405
482373,10000000,"[53, 27]",[0],2839,1046225,7.297,1777,5.75521749042025
330457,150000000,"[10751, 16, 12, 35, 14]",[0],40462,1120694,7.301,8341,6.787830642597154
118,150000000,"[12, 35, 10751, 14]","[2, 6, 0]",1281,510,7.031,12822,6.706621135417998
863,90000000,"[16, 35, 10751]",[0],12898,7879,7.577,11834,7.167442445991314
597,200000000,"[18, 10749]",[0],6193,2710,7.877,21378,7.6187867328728585
458576,60000000,"[28, 14, 12]","[10, 7, 16, 0, 3]",57207,4014,6.75,2661,5.732912512480366
10138,200000000,"[12, 28, 878]",[0],12052,15277,6.833,18256,6.61283853638902
122917,250000000,"[28, 12, 14]","[18, 0]",7060,108,7.298,12181,6.92927989672377
370172,250000000,"[12, 28, 53]","[6, 0]",121529,87257,7.46,4423,6.566807220508593
38757,260000000,"[16, 10751]",[0],69899,121830,7.58,9573,7.086349323618687
216015,40000000,"[18, 10749, 53]",[0],1254583,1137903,5.899,10368,5.649904113174173
522016,75000000,"[28, 53]","[16, 0]",1267329,11092,6.122,557,4.517773644082541
425,59000000,"[16, 35, 10751, 12]",[0],1267329,5713,7.335,11308,6.936819255572392
