액션,모험,판타지,SF,드라마,공포,스릴러,미스터리,로맨스,title,budget,charactor,director,vote_weight
1,1,1,0,0,0,0,0,0,616037,0.6578947368421053,0.0010677547125576344,0.01533742247176161,0
1,1,0,1,0,0,0,0,0,507086,0.4342105263157895,0.005209074544031172,0.25520517853945424,0
0,1,1,0,0,0,0,0,0,438148,0.2236842105263158,0.034206265312641815,0.0021999524527289913,1
1,0,0,0,1,0,0,0,0,361743,0.4473684210526316,0.2733005109812293,0.023655727046856548,1
0,0,0,0,0,1,1,0,0,756999,0.049473684210526316,0.419686830339699,0.015218142985666993,1
1,1,1,0,0,0,0,0,0,453395,0.5263157921052631,0.1510439674189484,0.0020902701666649756,0
1,1,0,1,0,0,0,0,0,718789,0.5263157894736842,0.02047983152837817,0.0021741771155039478,1
1,0,0,0,0,0,1,0,0,725201,0.5263157894736842,0.004614323652521796,0.005284492542564268,1
0,0,0,0,1,0,0,0,0,614934,0.2236842105263158,8.5003585231861e-06,0.0017003496397074006,1
1,1,0,1,0,0,0,0,0,634649,0.5263157894736842,0.1386682680245304,0.35482055018279923,0
1,1,0,0,0,0,0,0,0,675353,0.2894736842105263,0.060906714049310307,0.025600942390201862,0
1,0,0,0,0,0,0,0,0,718930,0.22605263157894737,0.034282494334236836,0.011155785315571019,1
0,0,0,0,0,1,0,0,0,836225,0.003947368421052632,0.439126053461771,0.32646411456095414,1
1,1,0,0,0,0,0,0,0,752623,0.19473684210526315,0.010604334360231484,0.25542947881445516,0
0,0,0,0,1,0,0,0,0,626735,0.05263157894736842,5.730886875309338e-05,0.2947346744369254,1
1,1,1,0,0,0,0,0,0,338953,0.5263157894736842,0.002643885705824528,0.00311031542706032,0
1,1,1,0,0,0,0,0,0,639933,0.18421052631578946,0.0006106547881011433,0.038054543355625345,0
0,0,1,0,0,0,0,0,0,508947,0.5,0.0070031986026507405,0.5510819197800212,0
1,0,1,1,0,0,0,0,0,526896,0.19736842105263158,0.037437772577020786,0.03447807821279296,0
0,0,1,0,0,0,0,0,0,568124,0.13157894736842105,0.6914441149412995,0.3614582479296783,0
1,1,0,0,0,0,0,0,0,335787,0.3157894736842105,0.0036304757047414178,0.02502620721122642,0
1,1,1,0,0,0,0,0,0,635302,0.041578947368421056,0.4287037912970039,0.3518086746074814,0
0,0,0,0,0,0,1,1,0,414906,0.4868421052631579,0.010187542587481713,0.008850812073935732,0
0,0,0,0,0,0,0,0,0,438695,0.2236842105263158,0.00010090748182362852,0.01448957840048677,0
0,0,1,1,0,0,0,0,0,809107,0.09473684210526316,0.5250912760272066,0.010609567530972221,1
1,0,0,1,0,0,1,0,0,169,0.09210526315789473,0.0005615720727575849,0.0005599280703567992,0
0,0,0,0,0,0,0,0,0,629542,0.21052631578947367,0.3377430999710714,0.3458981704172067,1
1,1,0,1,0,0,1,0,0,106,0.039473684210526314,0.0003018998301299321,0.0002988842295244423,0
1,1,0,1,0,0,0,0,0,580489,0.2894736842105263,0.015836716338923005,0.00036551621830833173,0
1,1,0,1,0,1,0,0,0,346910,0.23157894736842105,0.4525209732636304,0.00030381993239732296,0
1,1,0,1,0,0,0,0,0,406759,0.38421052631578945,0.004710295442299704,0.0016578477538575945,0
1,0,0,1,0,0,0,0,0,539681,0.23684210526315788,0.01525622411332349,0.024411712203552774,1
1,0,0,1,0,0,1,0,0,34851,0.10526315789473684,0.0046757455979796565,0.011426426356433976,0
1,1,0,1,0,0,0,0,0,588228,0.5263157894736842,0.017360474155482527,0.03970937484661618,0
1,1,0,1,0,0,0,0,0,299536,0.7894736842105263,0.020446926914740034,0.005284492542564268,0
1,1,1,0,0,0,0,0,0,566525,0.39473684210526316,0.00036661223695160693,0.313856958395041,0
1,0,1,1,0,1,1,0,0,440,0.10526315789473684,0.007093412085041974,0.0016556541081363142,0
0,1,0,0,0,0,0,0,0,459151,0.21578947368421053,0.0030179014808447164,0.005172616610778972,0
1,0,0,1,0,0,0,0,0,303857,0.013157894736842105,0.0335904006273813,0.29708873050157436,0
0,0,0,0,1,0,0,0,1,744275,0.03684210526315789,0.30559803449774536,0.3971847847635949,0
1,1,0,1,0,0,0,0,0,524434,0.5263157894736842,0.14066475545702453,0.3825671522941284,0
0,0,0,0,1,0,1,0,0,698948,0.14473684210526316,0.019870547765845285,0.0016888329996706788,1
1,0,0,1,0,1,0,0,0,460458,0.10526315789473684,0.3355519269078849,0.02762183851093135,0
0,1,1,0,0,0,0,0,0,809717,0.005263157894736842,0.5412863784496718,0.031420958694473686,1
1,1,1,0,0,0,0,0,0,460465,0.05263157894736842,0.03738704463099533,0.5014098286844954,0
0,0,0,0,0,1,1,1,0,760104,0.02631578947368421,0.2671221213604413,0.02784339672878066,1
0,0,0,0,1,0,0,0,0,324786,0.10526315789473684,0.01802377632540469,0.0006748202650088555,0
0,0,1,0,0,0,0,0,0,508943,0.5263157894736842,0.4866260568893349,0.2551667897393318,0
1,0,0,0,0,0,1,0,0,763285,0.10526315789473684,0.4496544330055211,0.00023718794361343357,1
1,1,1,1,0,0,0,0,0,19995,0.6236842105263158,0.0023831166427422707,0.0007430974880837051,0
0,0,0,0,0,0,0,0,0,337404,0.5263157894736842,0.0019347912819226165,0.01392060154152969,0
1,0,0,0,0,0,1,0,0,823625,0.11315789473684211,0.5555532705129418,0.05664377140346986,1
1,0,1,0,1,0,0,0,0,397567,0.04815789473684211,0.017396120820257176,0.023298985411433337,1
1,0,0,0,0,0,0,0,0,648579,0.07894736842105263,0.3436777212458235,0.332063121058807,1
1,0,1,0,1,0,0,0,0,518068,0.04815789473684211,0.041165042686881065,0.023298985411433337,1
0,1,1,0,0,0,0,0,0,585245,0.16842105263157894,0.05820963255143745,0.01880310850566934,1
0,1,1,0,0,0,0,0,0,425909,0.19736842105263158,0.3954226940378211,0.014380170320137914,0
1,0,1,0,0,0,0,0,0,20982,0.07631578947368421,0.022500449010873603,0.02467083660437901,1
1,1,0,1,0,0,0,0,0,545611,0.06578947368421052,0.0001892015284193035,0.3793943179640116,1
1,1,0,0,0,0,1,1,0,476669,0.2631578947368421,0.4706711581464283,0.0002624148694081571,0
0,1,0,0,0,0,0,0,0,675445,0.06842105263157895,0.6613871214084271,0.3012086713718539,1
1,1,1,1,0,0,0,0,0,791373,0.18421052631578946,0.020282403846549335,0.00417258836759031,0
0,0,0,0,0,1,1,1,0,423108,0.10263157894736842,0.0059384601463432695,0.4408328505027699,0
1,1,0,1,0,0,0,0,0,624860,0.5,0.00014532871023511718,0.0025610813795947625,0
1,0,0,0,0,0,1,0,0,512195,0.42105263157894735,0.0029775933291379952,0.015803297981818516,0
1,0,0,0,0,0,0,0,1,317442,0.002631578947368421,0.0067594302566148555,0.6364158351606859,1
1,1,0,0,0,0,0,0,0,436969,0.4868421052631579,0.004827381025828751,0.00417286257330547,0
0,0,0,0,0,1,1,1,0,646385,0.06315789473684211,0.003949924662145024,0.28504424446316967,0
0,0,0,0,0,1,1,0,0,632727,0.05263157894736842,0.03368637241715921,0.5434458390242445,1
1,1,0,1,0,0,0,0,0,299534,0.9368421052631579,0.004614323652521796,0.005284492542564268,0
1,1,0,1,0,0,0,0,0,696806,0.30526315789473685,0.7862848086253961,0.004887716872727692,0
0,1,1,0,0,0,0,0,0,671,0.32894736842105265,0.0030132399939126467,0.0030066656667298254,0
1,1,0,1,0,0,0,0,0,24428,0.5789473684210527,0.004614323652521796,0.0035347858741280602,0
1,1,0,1,0,1,0,0,0,395,0.18421052631578946,0.0014839980750801021,0.0011006617406523957,0
0,1,1,0,0,0,0,0,0,674,0.39473684210526316,0.0030132399939126467,0.002940307883661096,0
0,0,0,0,1,0,0,0,1,537915,0.03684210526315789,0.30559803449774536,0.4349434601525626,0
0,0,0,0,1,0,1,0,0,7445,0.06842105263157895,3.5920869888302546e-05,0.01462448761234551,0
0,0,0,0,0,0,0,0,0,587272,0.008947368421052631,0.025629129357633392,0.0029743093923409406,1
0,0,0,1,0,1,1,1,0,762504,0.17894736842105263,0.02047983152837817,0.07986597921465838,1
0,1,1,0,0,0,0,0,0,672,0.2631578947368421,0.0030132399939126467,0.0030066656667298254,0
1,0,1,1,0,0,0,0,0,399566,0.5263157894736842,0.3718797171848458,0.027045183891949785,0
0,1,0,1,0,0,0,0,0,550988,0.2894736842105263,0.3807593013802114,0.004887716872727692,0
0,1,1,0,0,0,0,0,0,767,0.6578947368421053,0.0030132399939126467,0.00311031542706032,0
0,1,1,0,0,0,0,0,0,529203,0.17105263157894737,0.014997100280923138,0.39769371057093195,0
0,1,1,0,0,0,0,0,0,673,0.34210526315789475,0.0030132399939126467,0.0030760397126653152,0
0,0,0,0,0,0,0,0,0,585,0.3026315789473684,0.002167317218298804,0.0035345116684129003,0
1,1,0,1,0,0,0,0,0,497698,0.5263157894736842,0.37668571021180974,0.02557955434441938,0
0,1,0,0,1,0,0,0,0,589761,0.02394736842105263,0.02129668856194499,0.15430378209200862,1
0,1,1,0,0,0,0,0,0,12445,0.32894736842105265,0.0030132399939126467,0.00311031542706032,0
1,0,0,0,0,0,1,0,0,385128,0.5263157894736842,0.0048388976406021,0.015955756359447498,0
0,0,0,0,1,0,0,0,0,50014,0.06578947368421052,0.005344806075288498,0.015297662643063405,0
1,1,0,1,0,0,0,0,0,99861,0.9605263157894737,0.020446926914740034,0.0035347858741280602,0
1,1,1,0,0,0,0,0,0,527774,0.2631578947368421,0.4457363161365596,0.5298142503064934,0
0,0,0,0,0,0,0,0,0,668742,0.010526315789473684,0.025629129357633392,0.0029743093923409406,1
0,1,1,0,0,0,0,0,0,354912,0.4605263157894737,7.074491932200044e-05,2.1936457212803105e-06,0
0,1,1,0,0,0,0,0,0,589754,0.022105263157894735,0.3447103777038338,0.03156711034065399,1
0,0,0,0,0,1,0,1,0,632357,0.02631578947368421,0.5667912928908211,0.02212154607053613,0
