title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
토르: 러브 앤 썬더,250000000,액션,United States of America,Christian Bale,Taika Waititi,6.778,1802,5.482992399951836
쥬라기 월드: 도미니언,165000000,모험,United States of America,Bryce Dallas Howard,Colin Trevorrow,7.108,2698,5.972418556258678
미니언즈 2,85000000,가족,United States of America,Pierre Coffin,Kyle Balda,7.804,1257,5.695402494799401
탑건: 매버릭,170000000,액션,United States of America,Miles Teller,Joseph Kosinski,8.339,1874,6.379786010034734
블랙폰,18800000,공포,United States of America,Madeleine McGraw,Scott Derrickson,8.0,1731,6.11078432783653
닥터 스트레인지: 대혼돈의 멀티버스,200000001,판타지,United States of America,Elizabeth Olsen,Sam Raimi,7.515,5193,6.7124141021814205
버즈 라이트이어,200000000,애니메이션,United States of America,Keke Palmer,Angus MacLane,7.334,1559,5.663958573860931
그레이 맨,200000000,액션,United States of America,Chris Evans,Joe Russo,7.07,1457,5.475758067127414
엘비스,85000000,음악,Australia,Tom Hanks,Baz Luhrmann,7.908,888,5.4072775261849015
스파이더맨: 노 웨이 홈,200000000,액션,United States of America,Zendaya,Jon Watts,8.048,14602,7.665219666442476
수퍼 소닉 2,110000000,액션,Japan,Ben Schwartz,Jeff Fowler,7.689,2747,6.36205606676145
불릿 트레인,85900000,액션,United States of America,Joey King,David Leitch,7.338,228,4.372104435630781
엑소시즘 오브 갓,1500000,공포,Mexico,María Gabriela de Faría,Alejandro Hidalgo,7.19,508,4.7497489201004
로스트 시티,74000000,액션,United States of America,Channing Tatum,Aaron Nee,6.771,1724,5.447830502928214
도그,20000000,드라마,United States of America,Jane Adams,Reid Carolin,7.429,768,5.111712888883751
신비한 동물들과 덤블도어의 비밀,200000000,판타지,United Kingdom,Jude Law,David Yates,6.858,2505,5.760902504514441
노스맨,70000000,액션,United States of America,Nicole Kidman,Robert Eggers,7.203,2117,5.845329253546359
메이의 새빨간 비밀,190000000,애니메이션,United States of America,Sandra Oh,Domee Shi,7.505,2931,6.295325286519137
모비우스,75000000,액션,United States of America,Matt Smith,Daniel Espinosa,6.46,2308,5.462289407317957
엔칸토: 마법의 세계,50000000,애니메이션,United States of America,María Cecilia Botero,Jared Bush,7.676,7113,7.024578690626494
언차티드,120000000,액션,United States of America,Mark Wahlberg,Ruben Fleischer,7.2,3049,6.121968409249426
극장판 귀멸의 칼날: 무한열차편,15800000,애니메이션,Japan,Akari Kito,Haruo Sotozaki,8.359,2604,6.741682371698516
더 배트맨,185000000,범죄,United States of America,Zoë Kravitz,Matt Reeves,7.754,5845,6.974136386276338
씽2게더,85000000,애니메이션,United States of America,Reese Witherspoon,Garth Jennings,8.041,3037,6.683066581370582
좀비스 3,36000000,음악,Canada,Milo Manheim,Paul Hoen,7.832,191,4.362963215478311
프레데터 2,35000000,SF,United States of America,Gary Busey,Stephen Hopkins,6.227,2437,5.350524859874966
배드 가이즈,80000000,애니메이션,United States of America,Marc Maron,Pierre Perifel,7.794,905,5.3819712240076285
프레데터,15000000,SF,United States of America,Carl Weathers,John McTiernan,7.486,6351,6.807431449887364
베놈 2: 렛 데어 비 카니지,110000000,SF,United States of America,Woody Harrelson,Andy Serkis,6.964,7796,6.474851776594362
더 프레데터,88000000,SF,Canada,Trevante Rhodes,Shane Black,5.622,3852,5.146509201983515
문폴,146000000,SF,Hong Kong,Patrick Wilson,Roland Emmerich,6.444,1668,5.251771951379861
DC 리그 오브 슈퍼-펫,90000000,애니메이션,United States of America,Kevin Hart,Jared Stern,7.4,70,4.074864370872584
프레데터스,40000000,SF,United States of America,Topher Grace,Nimród Antal,6.226,3288,5.505880818328212
내일의 전쟁,200000000,액션,United States of America,Yvonne Strahovski,Chris McKay,7.951,5688,7.113148306686016
어벤져스: 인피니티 워,300000000,모험,United States of America,Chris Hemsworth,Joe Russo,8.268,25155,8.02449470643052
샹치와 텐 링즈의 전설,150000000,액션,United States of America,Tony Leung Chiu-wai,Destin Daniel Cretton,7.674,6985,7.013094367983718
에이리언 vs. 프레데터 2,40000000,판타지,United States of America,Reiko Aylesworth,Greg Strause,5.146,2259,4.657900943274195
보스 베이비 2,82000000,애니메이션,United States of America,James Marsden,Tom McGrath,7.538,2015,5.998323716657856
드래곤볼 Z - 부활의 'F',5000000,액션,Japan,Ryou Horikawa,Tadayoshi Yamamuro,6.815,1439,5.340770249313421
애프터: 관계의 함정,14000000,로맨스,France,Hero Fiennes Tiffin,Castille Landon,7.15,1832,5.699709299490218
이터널스,200000000,SF,United States of America,Richard Madden,Chloé Zhao,7.1,6064,6.471873891723935
서틴 라이브즈,55000000,드라마,United Kingdom,Colin Farrell,Ron Howard,8.002,215,4.433151271069154
레지던트 이블: 라쿤시티,40000000,공포,France,Robbie Amell,Johannes Roberts,6.11,1762,5.1053530285268005
Peterchens Mondfahrt,2000000,애니메이션,Austria,Dirk Petrick,Ali Samadi Ahadi,6.205,56,4.001559325525965
모탈 컴뱃,20000000,액션,United States of America,Jessica McNamee,Simon McQuoid,7.174,4798,6.40189618603698
X,10000000,공포,United States of America,Jenna Ortega,Ti West,6.756,714,4.837156383052649
핵소 고지,40000000,드라마,Australia,Sam Worthington,Mel Gibson,8.184,11249,7.6845590180642525
루카,200000000,애니메이션,United States of America,Jack Dylan Grazer,Enrico Casarosa,7.928,6565,7.185607683214213
앰뷸런스,40000000,액션,United States of America,Yahya Abdul-Mateen II,Michael Bay,6.921,1021,5.138615881877993
아바타,237000000,액션,United States of America,Zoe Saldaña,James Cameron,7.516,25859,7.319782567184594
크루엘라,200000000,코미디,United Kingdom,Emma Thompson,Craig Gillespie,8.142,7347,7.429167261959029
블랙라이트,43000000,액션,Australia,Emmy Raver-Lampman,Mark Williams,6.33,561,4.577738783992211
신과함께-죄와 벌,18300000,드라마,South Korea,Cha Tae-hyun,Kim Yong-hwa,8.106,635,5.168929240253851
미친 능력,30000000,액션,United States of America,Pedro Pascal,Tom Gormican,6.998,565,4.764632336197998
신과함께-인과 연,18300000,드라마,South Korea,Ju Ji-hoon,Kim Yong-hwa,8.226,369,4.772903386359883
클리포드 더 빅 레드 독,64000000,가족,Canada,Jack Whitehall,Walt Becker,7.285,1353,5.519728691058884
고스트 버스터즈 라이즈,75000000,판타지,Canada,Finn Wolfhard,Jason Reitman,7.618,3048,6.402365426821739
나루토 질풍전 극장판 1기 - 나루토의 죽음,29000000,애니메이션,Japan,Chie Nakamura,Hajime Kamegaki,7.199,460,4.691861903490469
에브리씽 에브리웨어 올 앳 원스,25000000,액션,United States of America,Ke Huy Quan,Daniel Kwan,8.273,1279,5.928622942949556
킹스맨: 퍼스트 에이전트,100000000,액션,United Kingdom,Harris Dickinson,Matthew Vaughn,6.886,3032,5.907470806999124
퍼피 구조대 더 무비,26000000,애니메이션,United States of America,Lilly Bartlam,Cal Brunker,7.439,994,5.326378823135649
잭 스나이더의 저스티스 리그,70000000,액션,United States of America,Henry Cavill,Zack Snyder,8.266,8026,7.584582955361341
컨저링 3: 악마가 시켰다,39000000,공포,United States of America,Vera Farmiga,Michael Chaves,7.601,4596,6.698634767191218
매트릭스: 리저렉션,190000000,SF,United States of America,Carrie-Anne Moss,Lana Wachowski,6.652,3999,5.909377898930689
레드 노티스,160000000,액션,United States of America,Ryan Reynolds,Rawson Marshall Thurber,6.781,3964,5.998338576831578
나루토 질풍전 극장판 7기 - 더 라스트 - 나루토 더 무비,1000000,액션,Japan,Nana Mizuki,Tsuneo Kobayashi,7.854,1253,5.715153595574411
더 수어사이드 스쿼드,185000000,액션,United States of America,Idris Elba,James Gunn,7.636,6458,6.938414410710017
스크림,24000000,공포,United States of America,Courteney Cox,Tyler Gillett,6.759,1552,5.366945512555453
텍사스 전기톱 학살 2022,20000000,공포,United States of America,Elsie Fisher,David Blue Garcia,5.257,880,4.415311201712865
어벤져스: 엔드게임,356000000,모험,United States of America,Chris Evans,Joe Russo,8.278,21565,7.995933502296282
애덤 프로젝트,116000000,액션,United States of America,Walker Scobell,Shawn Levy,7.106,2786,5.994475700794889
해리 포터와 마법사의 돌,125000000,모험,United Kingdom,Rupert Grint,Chris Columbus,7.917,23043,7.673877351576171
어벤져스,220000000,SF,United States of America,Chris Evans,Joss Whedon,7.706,27341,7.5100366311079485
에이리언 vs. 프레데터,70000000,모험,Germany,Raoul Bova,Paul W. S. Anderson,5.878,3570,5.300567016240716
해리 포터와 불의 잔,150000000,모험,United Kingdom,Rupert Grint,Mike Newell,7.821,17555,7.515346012338072
애프터,14000000,로맨스,United States of America,Hero Fiennes Tiffin,Jenny Gage,7.166,7185,6.607675131143027
브라더스,26000000,드라마,United States of America,Jake Gyllenhaal,Jim Sheridan,7.184,2403,5.933298960187457
Padre no hay más que uno,3400000,코미디,Spain,Toni Acosta,Santiago Segura,7.631,519,4.876914131944508
놉,68000000,공포,Japan,Keke Palmer,Jordan Peele,7.068,161,4.225586819084202
해리 포터와 비밀의 방,100000000,모험,United Kingdom,Rupert Grint,Chris Columbus,7.73,18569,7.446563304500914
고질라 VS. 콩,200000000,액션,United States of America,Millie Bobby Brown,Adam Wingard,7.759,8113,7.162507729833225
