0,1,2,3,4,5,6,7
{616037: 'Thor: Love and Thunder'},250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{3894: 'Christian Bale'},{55934: 'Taika Waititi'},6.772,1752
{438148: 'Minions: The Rise of Gru'},85000000,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{124747: 'Pierre Coffin'},{8023: 'Kyle Balda'},7.795,1166
{507086: 'Jurassic World Dominion'},165000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{18997: 'Bryce Dallas Howard'},{930707: 'Colin Trevorrow'},7.117,2622
{361743: 'Top Gun: Maverick'},170000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{996701: 'Miles Teller'},{86270: 'Joseph Kosinski'},8.334,1852
{756999: 'The Black Phone'},18800000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1530558: 'Madeleine McGraw'},{55499: 'Scott Derrickson'},7.975,1671
{766507: 'Prey'},0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{3233354: 'Dakota Beavers'},{568322: 'Dan Trachtenberg'},8.204,1548
{453395: 'Doctor Strange in the Multiverse of Madness'},200000001,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{550843: 'Elizabeth Olsen'},{7623: 'Sam Raimi'},7.513,5157
{725201: 'The Gray Man'},200000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",{16828: 'Chris Evans'},{19272: 'Joe Russo'},7.049,1389
{718789: 'Lightyear'},200000000,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{74688: 'Keke Palmer'},{7929: 'Angus MacLane'},7.335,1504
{762975: 'Purple Hearts'},0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1425934: 'Nicholas Galitzine'},{1223175: 'Elizabeth Allen Rosenbaum'},8.56,890
